ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUT,Austria,pop,Population (in millions),6.98075136783072,6.98110463017192,6.97337509655404,6.97811725950391,6.98589383077048,6.99261397484549,6.99812409940667,7.01171366009488,7.03335337837369,7.0605037011897,7.09382795538466,7.13294551998498,7.17679756791904,7.22304661603243,7.27135284131212,7.31875047201042,7.37026437694537,7.42555809293601,7.46421584052155,7.49003662979796,7.516239,7.55034,7.581117,7.607065,7.62629,7.637689,7.640749,7.636576,7.627759,7.617884,7.609752,7.604513,7.602181,7.603102,7.607293,7.614868,7.625393,7.639352,7.65884,7.686572,7.723949,7.772701,7.830933,7.892086,7.947209,7.990121,8.017863,8.032876,8.04105,8.051113,8.069276,8.097748,8.134412,8.175852,8.216805,8.25365,8.285343,8.313737,8.341532,8.372663,8.409949,8.453501,8.502227,8.556189,8.615214,8.67866,8.747301,8.819901,8.891388,8.955102
AUT,Austria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),40357.2890625,41846.48046875,43857.6484375,46026.796875,49078.171875,53920.0390625,58295.65625,61308.078125,64191.60546875,66691.546875,71715.84375,75887.78125,78181,81741.1171875,85801.515625,88744.0390625,93206.4375,96198.3359375,100632.609375,105549.25,111881.2421875,117554.25,125129.015625,132343.171875,135241.546875,136149.09375,140292.921875,146131.71875,146276.59375,152109.84375,152980.46875,151429.25,152637.453125,156059.296875,155888.796875,158950.5,166557.203125,173385.21875,183558.125,195007.90625,208007.234375,220418.28125,229276.84375,234339.578125,246585.96875,259853.65625,266383.875,278759.71875,295161.6875,304416.21875,314579.6875,308449.03125,313331.15625,318809.15625,330761.75,343994.09375,361593.875,376780.21875,387194.71875,382414.0625,392208.28125,411183.78125,421391.21875,423862.15625,429092.78125,448794.71875,466582.8125,480926.90625,492542.71875,498022.25
AUT,Austria,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),41605.02734375,43706.10546875,44922.38671875,47309.0625,50657.71875,55541.88671875,59629.859375,62760.4375,65324.33984375,67548.265625,72448.734375,76432.4921875,78591.6875,81837.1953125,85747.6015625,88459.3984375,92929.5859375,95787.140625,99937.0390625,104938.34375,111568.6328125,117567.71875,124571.890625,130781.703125,135338.328125,136221.3125,139693.34375,145573.96875,145074.265625,151004.609375,152806.375,152377.875,153064.78125,156258.765625,155366.9375,158705.046875,166262.3125,173161.453125,184286.40625,194189.265625,205574.15625,214933.046875,223888.765625,228787.203125,240059.078125,250433.9375,256307.3125,269415.34375,280194.75,290596.125,306927.5625,299963.125,306288.46875,313908.28125,326475.03125,357373.03125,364390.5,376847.21875,390540.625,373127.28125,385229.0625,402328.375,409657.375,404381.125,423224.03125,430623.875,436191.0625,458231.59375,470960.75,477705.5
BEL,Belgium,pop,Population (in millions),8.6343310225168,8.67332499381653,8.72531377848887,8.77275428316897,8.81423684605707,8.86330337036558,8.91864141234989,8.98386900865093,9.04742769500511,9.09842047117119,9.11338252048344,9.16045512154306,9.21302435519177,9.27768675240744,9.36153732498011,9.44259049567157,9.50225569422854,9.5509276276073,9.58420765537109,9.607094882415,9.63218,9.663324,9.692846,9.720761,9.74702,9.771586,9.794777,9.816696,9.836814,9.854377,9.868995,9.880592,9.889824,9.89788,9.906371,9.916578,9.928542,9.942289,9.95902,9.980176,10.006544,10.039445,10.078101,10.118674,10.155919,10.186305,10.208275,10.223789,10.237299,10.25516,10.282033,10.319019,10.364885,10.419032,10.480117,10.546886,10.619475,10.697572,10.778758,10.85994,10.938739,11.013853,11.085358,11.154009,11.221231,11.28794,11.35442,11.419748,11.482178,11.539328
BEL,Belgium,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),75285.921875,80468.1484375,82140.6640625,82216.6640625,85718.1015625,91011.1484375,95059.8515625,95819.3828125,95461.3203125,96738.421875,102919.1796875,107518.2421875,113236.9765625,117017.28125,125598.6640625,130886.4765625,135008.984375,140139.34375,145929,156273.375,165948.40625,171450.3125,182810.140625,196870.640625,203615.0625,199590.859375,212703.640625,217205.6875,225729.5625,233885.390625,243294.28125,227759.59375,220415.53125,213840.453125,214285.140625,212411.203125,223275.234375,231404.734375,248818.640625,261833.265625,272013.5625,277534.53125,286644.125,287547.59375,298298,307887.6875,309153.0625,328544.3125,341227.5,356183.625,378521.625,380844.09375,386985.6875,387888.96875,398061,413649.21875,430283.46875,449795.90625,460274.53125,458331.59375,488960.96875,494871.0625,500611.46875,501871.71875,508746.40625,531206.875,549813.1875,568297.125,575549.9375,589449.125
BEL,Belgium,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),72084.2734375,75056.8125,76747.5234375,79178.1015625,82787.7734375,86486.8671875,88979.7578125,90509.5546875,89428.765625,92119.1953125,96857.734375,102098.84375,107618.0390625,111842.3984375,119508.0390625,123734.796875,127105.4296875,131961.8125,137579.8125,146061.609375,154585.03125,160690.09375,170488,182405.046875,190767.734375,189073.03125,201472.625,204631.046875,212704.25,219504.09375,234949.078125,224090.484375,216932.828125,210577,210094.296875,199750.515625,214298.953125,226405.9375,244142.4375,249963.359375,261314.03125,265296.375,275201.0625,276938.21875,284110.46875,296016.78125,295071.71875,308663.96875,310652.96875,325198.25,346908.875,348797.75,358492.6875,374266.28125,383970.3125,429270.65625,417205.4375,430014.65625,467485.40625,451867,489332.59375,487755.40625,491813.125,490563.46875,493290.53125,484155.03125,492930.46875,515603.875,507573.0625,517419.75
CYP,Cyprus,pop,Population (in millions),0.493210678774414,0.501197882872897,0.507188338017493,0.514177123006976,0.522164356860164,0.529153141849647,0.535143596994243,0.545127609556023,0.557108460335805,0.566094024033881,0.572084479178476,0.577775363958315,0.575079647241365,0.581369613241309,0.585562884234998,0.58985601201694,0.594049342520039,0.598442267580824,0.603334476582871,0.608426280142605,0.613618,0.620859,0.627998,0.635107,0.5205,0.5022,0.4979,0.4975,0.4996,0.5032,0.5086,0.515,0.5208,0.5276,0.5348,0.5411,0.5475,0.5535,0.5593,0.5675,0.5794,0.5949,0.6106,0.6258,0.639,0.6507,0.6609,0.6704,0.6789,0.6864,0.6936,0.7013,0.7096,0.717836,0.72798,0.73854,0.750965,0.767125,0.786632,0.808035,0.829446,0.850881,0.863945,0.86193,0.852504,0.8477,0.8516,0.854802,0.861749,0.868495
CYP,Cyprus,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1449.06079101563,1537.29455566406,1744.58801269531,1978.66967773438,2222.72998046875,2269.00708007813,2555.3466796875,2485.16943359375,2231.47436523438,2356.29711914063,2290.31396484375,2579.345703125,3034.39184570313,3077.63354492188,2687.00512695313,3429.05712890625,3660.00903320313,4028.54565429688,4187.908203125,4703.34716796875,4764.4365234375,5204.3896484375,5501.95703125,5448.720703125,4022.92236328125,3216.32836914063,4098.056640625,4986.513671875,5516.8798828125,6334.486328125,6755.24853515625,6844.984375,7420.8720703125,7736.14892578125,8687.1767578125,9025.8603515625,9403.4833984375,10203.1806640625,10983.888671875,12016.0869140625,12912.2578125,12834.5849609375,14198.9248046875,14063.28515625,15121.8662109375,16193.3212890625,16305.36328125,16645.923828125,17587.296875,18607.150390625,19743.375,20702.837890625,20892.32421875,21264.44140625,22709.40625,24390.591796875,26099.1328125,28847.38671875,30870.048828125,30597.498046875,31168.369140625,30818.748046875,30208.3515625,27338.408203125,26104.1015625,27367.923828125,30337.669921875,32195.4375,33295.43359375,33665.640625
CYP,Cyprus,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),1604.56127929688,1692.82666015625,1878.13903808594,2111.94506835938,2368.99926757813,2443.34814453125,2720.29858398438,2754.45263671875,2417.6416015625,2563.76440429688,2433.93823242188,2743.73315429688,3222.19189453125,3264.83862304688,2797.9990234375,3593.392578125,3760.99877929688,4185.642578125,4334.033203125,4938.69970703125,5112.89892578125,5608.34423828125,5884.63232421875,5829.18701171875,4476.6650390625,3559.13061523438,4481.74169921875,5646.85986328125,6278.3447265625,7219.2421875,7737.4853515625,7795.2470703125,8389.9423828125,8814.3212890625,9843.759765625,9665.7587890625,9842.912109375,10623.9482421875,11254.375,12552.970703125,13056.8603515625,12795.4384765625,13630.3564453125,13552.400390625,14301.05859375,15180.4462890625,15054.5791015625,15594.025390625,15481.4375,16683.53125,19120.970703125,19664.859375,19092.96484375,18078.2265625,18465.5390625,21364.994140625,22115.47265625,23687.322265625,25492.712890625,25696.646484375,26422.625,26344.57421875,27058.04296875,24262.265625,22666.705078125,23929.623046875,26193.916015625,26715.97265625,26906.84765625,28053.96875
DEU,Germany,pop,Population (in millions),68.734097311722,69.0738674780284,69.4488209455794,69.8468948682342,70.264068297279,70.6943098096432,71.1396298796838,71.6050546932927,72.0976209107191,72.6253704293902,73.1963451467334,73.8095398255702,74.4569125684734,75.1153429203393,75.7576894773504,76.3618370215815,76.9197436556052,77.4304041422431,77.883766109711,78.2687719490463,78.578385,78.789939,78.901818,78.932455,78.909807,78.856039,78.781733,78.687323,78.573586,78.438164,78.2831,78.107857,77.926011,77.770213,77.682295,77.691595,77.806147,78.015731,78.307525,78.660303,79.053984,79.490835,79.963159,80.428556,80.832937,81.138659,81.323664,81.399251,81.402673,81.389927,81.400882,81.453885,81.535122,81.61438,81.646474,81.602741,81.472226,81.27783,81.065752,80.899961,80.827002,80.855632,80.972628,81.174367,81.450378,81.787411,82.193768,82.658409,83.124418,83.517045
